siret,montant_ht,montant_ttc,tva_rate,ocr_confidence
53441315820956,36239.44,39863.38,10.0,0.93
10000000410009,39058.47,46870.16,20.0,0.89
32099159963194,43728.12,52473.74,20.0,0.95
90123456789012,60680.96,72817.15,20.0,0.94
56789012345678,20390.96,24469.15,20.0,0.99
89012345678901,3690.46,4428.55,20.0,0.93
11223344556677,42235.07,42235.07,0.0,0.92
68493127809285,48240.76,53064.84,10.0,0.92
10000000410009,30686.11,36823.33,20.0,0.94
45821634027508,33078.06,34897.35,5.5,0.89
78901234567890,1029.1,1234.92,20.0,0.99
89012345678901,2949.16,3538.99,20.0,0.94
90123456789012,71847.28,86216.74,20.0,0.93
10000000410009,42924.13,51508.96,20.0,0.94
67890123456789,3128.2,3753.84,20.0,0.87
67890123456789,33169.06,39802.87,20.0,0.89
73673311066579,29767.57,29767.57,0.0,0.97
32345678901234,29917.85,35901.42,20.0,0.92
89012345678901,1987.37,2384.84,20.0,0.89
49885649584952,8837.65,10605.18,20.0,0.97
16441907349286,58178.89,69814.67,20.0,0.91
85420240945824,12305.4,14766.48,20.0,0.84
85041529797113,39543.31,47451.97,20.0,0.96
32345678901234,99632.97,119559.56,20.0,0.9
78901234567890,904.53,954.28,5.5,0.96
22545282232285,42433.8,50920.56,20.0,0.96
32345678901234,76592.9,91911.48,20.0,0.95
69250497690061,21239.58,23363.54,10.0,0.93
90123456789012,78584.99,94301.99,20.0,0.94
30819183295406,22437.6,26925.12,20.0,0.96
10000000410009,24275.8,29130.96,20.0,0.94
89012345678901,1560.77,1872.92,20.0,0.88
78901234567890,1946.37,2335.64,20.0,0.93
45678901234567,2092.43,2301.67,10.0,0.93
99600136357000,47913.39,47913.39,0.0,0.91
67890123456789,21758.95,26110.74,20.0,0.86
75969656657975,43378.37,52054.04,20.0,0.92
90005449530492,48788.2,53667.02,10.0,0.93
32345678901234,103202.59,123843.11,20.0,0.87
52170297903769,19632.16,19632.16,0.0,0.97
89012345678901,3461.38,4153.66,20.0,0.93
19151258314755,46980.51,46980.51,0.0,0.91
38568350744444,30198.25,36237.9,20.0,0.9
38395901361524,29867.41,29867.41,0.0,0.98
11223344556677,27527.18,27527.18,0.0,0.89
89012345678901,3415.75,4098.9,20.0,0.87
11223344556677,75541.34,75541.34,0.0,0.91
56789012345678,12106.46,14527.75,20.0,0.95
10000000410009,31663.26,37995.91,20.0,0.91
27732086925252,38278.09,42105.9,10.0,0.96
32345678901234,35494.52,42593.42,20.0,0.92
37149306184105,42309.14,42309.14,0.0,0.97
78901234567890,468.7,562.44,20.0,0.95
56729815116645,10602.33,12722.8,20.0,0.9
32345678901234,31488.53,37786.24,20.0,0.94
45678901234567,541.25,595.38,10.0,0.97
45678901234567,2104.31,2314.74,10.0,0.99
32345678901234,96734.95,116081.94,20.0,0.91
44306184100047,4876.5,5851.8,20.0,0.91
36977504088637,32000.03,38400.04,20.0,0.99
82265658526691,35631.25,42757.5,20.0,0.95
89012345678901,2127.46,2552.95,20.0,0.95
62850431381043,53492.77,53492.77,0.0,0.88
56789012345678,17008.46,20410.15,20.0,0.99
36029242823323,47412.54,52153.79,10.0,0.89
37456038747680,42745.32,51294.38,20.0,0.98
10000000410009,38386.6,46063.92,20.0,0.88
16163938087493,7757.13,9308.56,20.0,0.94
90123456789012,76752.65,92103.18,20.0,0.93
10000000410009,38909.71,46691.65,20.0,0.9
89012345678901,3579.2,4295.04,20.0,0.89
91477447119867,7577.1,7577.1,0.0,0.96
10000000410009,43774.05,52528.86,20.0,0.91
78901234567890,1853.61,2224.33,20.0,0.98
32345678901234,41273.88,49528.66,20.0,0.94
45678901234567,987.8,1086.58,10.0,0.95
86900084255048,8204.87,9845.84,20.0,0.93
10000000410009,42149.27,50579.12,20.0,0.89
54987307229493,46299.73,55559.68,20.0,0.95
89012345678901,3294.48,3953.38,20.0,0.91
96692063401878,57610.76,60779.35,5.5,0.96
45678901234567,724.48,764.33,5.5,0.92
67890123456789,16510.92,19813.1,20.0,0.86
78901234567890,1560.01,1645.81,5.5,0.94
89012345678901,4268.82,5122.58,20.0,0.96
78901234567890,720.87,760.52,5.5,0.98
45678901234567,1921.58,2113.74,10.0,0.94
90123456789012,61790.46,74148.55,20.0,0.92
42229536351277,50831.4,55914.54,10.0,0.92
44306184100047,6753.09,8103.71,20.0,0.95
25287827760983,19797.6,23757.12,20.0,0.95
11223344556677,57406.81,57406.81,0.0,0.93
90611016487877,40378.78,48454.54,20.0,0.88
11223344556677,51731.6,51731.6,0.0,0.89
65474321542248,22476.14,22476.14,0.0,0.94
90123456789012,60183.68,72220.42,20.0,0.94
27733404034880,31276.14,37531.37,20.0,0.96
11223344556677,60685.17,60685.17,0.0,0.85
67890123456789,24153.5,28984.2,20.0,0.91
67508977803223,6709.14,7380.05,10.0,0.92
24014605948390,44294.12,44294.12,0.0,0.92
32345678901234,85656.41,102787.69,20.0,0.96
78901234567890,1977.15,2085.89,5.5,0.99
33188998149876,16628.97,19954.76,20.0,0.94
78901234567890,1156.59,1387.91,20.0,0.93
53739954151536,3806.91,4568.29,20.0,0.92
90257046246496,47681.36,57217.63,20.0,0.99
67890123456789,14709.89,17651.87,20.0,0.89
89012345678901,2339.68,2807.62,20.0,0.9
45678901234567,2132.67,2345.94,10.0,0.9
66381731396910,41732.72,41732.72,0.0,0.91
45678901234567,1245.25,1313.74,5.5,0.96
89012345678901,3490.5,4188.6,20.0,0.93
74185709513346,5086.92,5595.61,10.0,0.89
56789012345678,6370.08,7644.1,20.0,0.93
84423253367233,13098.18,13818.58,5.5,0.95
32345678901234,50436.46,60523.75,20.0,0.97
89012345678901,3158.12,3789.74,20.0,0.93
32345678901234,110169.62,132203.54,20.0,0.91
45678901234567,2505.35,2643.14,5.5,0.97
57544859703883,46902.83,56283.4,20.0,0.97
89012345678901,1169.77,1403.72,20.0,0.93
53465601852695,14260.14,17112.17,20.0,0.93
43118042187945,43312.04,51974.45,20.0,0.93
45678901234567,1249.76,1318.5,5.5,0.99
56789012345678,14048.75,16858.5,20.0,0.95
40230025320635,26825.23,29507.75,10.0,0.91
33080280163697,43130.65,43130.65,0.0,0.85
56789012345678,24061.93,28874.32,20.0,0.98
11223344556677,35787.12,35787.12,0.0,0.9
89012345678901,4489.6,5387.52,20.0,0.91
30083228786951,26799.32,32159.18,20.0,0.94
45678901234567,690.25,759.28,10.0,0.93
45678901234567,2415.87,2548.74,5.5,0.91
39014870086626,49029.14,51725.74,5.5,0.89
25481344781789,41070.36,49284.43,20.0,0.96
86190920371615,41074.51,43333.61,5.5,0.95
63160520669572,10149.19,12179.03,20.0,0.98
37271117261644,39624.32,47549.18,20.0,0.9
57215320436925,3886.99,4275.69,10.0,0.96
11223344556677,98682.52,98682.52,0.0,0.9
50909924143243,28146.33,28146.33,0.0,0.97
89012345678901,993.08,1191.7,20.0,0.95
32345678901234,97087.47,116504.96,20.0,0.9
10000000410009,32810.52,39372.62,20.0,0.89
89012345678901,2303.27,2763.92,20.0,0.93
67890123456789,36901.35,44281.62,20.0,0.9
10000000410009,26812.52,32175.02,20.0,0.95
75746096487283,26242.15,31490.58,20.0,0.94
45678901234567,1985.56,2184.12,10.0,0.88
10000000410009,33694.33,40433.2,20.0,0.88
24850906453356,46000.38,55200.46,20.0,0.91
62199620596721,8021.07,9625.28,20.0,0.99
32344459038466,36262.2,39888.42,10.0,0.95
75323491366462,29174.4,35009.28,20.0,0.94
78901234567890,1257.39,1508.87,20.0,0.96
67890123456789,9012.38,10814.86,20.0,0.9
32548703810598,55747.31,61322.04,10.0,0.99
56789012345678,10944.75,13133.7,20.0,0.95
90123456789012,17647.96,21177.55,20.0,0.87
24332264954168,42780.61,51336.73,20.0,0.98
68619578979001,55821.74,55821.74,0.0,0.91
71338938458329,30836.23,37003.48,20.0,0.93
74768454987629,49858.88,59830.66,20.0,0.91
67890123456789,19980.14,23976.17,20.0,0.89
10000000410009,31613.61,37936.33,20.0,0.89
78901234567890,503.62,604.34,20.0,0.99
32345678901234,119098.6,142918.32,20.0,0.87
78901234567890,154.43,162.92,5.5,0.98
45678901234567,2613.99,2757.76,5.5,0.97
48371743128977,9044.31,9948.74,10.0,0.96
78901234567890,164.25,173.28,5.5,0.92
44306184100047,7194.95,8633.94,20.0,0.94
44306184100047,3723.4,4468.08,20.0,0.92
32345678901234,42424.49,50909.39,20.0,0.89
80431604455703,12287.07,12962.86,5.5,0.85
78901234567890,796.88,840.71,5.5,0.99
91694749567682,10844.4,11440.84,5.5,0.84
28601691221027,14975.74,14975.74,0.0,0.87
45011099692860,34244.66,36128.12,5.5,0.88
56789012345678,23117.71,27741.25,20.0,0.91
97321327811405,52862.75,63435.3,20.0,0.97
32345678901234,97574.1,117088.92,20.0,0.89
44306184100047,4830.14,5796.17,20.0,0.96
78901234567890,1094.25,1154.43,5.5,0.94
78901234567890,1583.77,1670.88,5.5,0.98
56789012345678,22775.57,27330.68,20.0,0.93
31676710451310,15834.35,19001.22,20.0,0.93
89012345678901,3773.89,4528.67,20.0,0.94
78901234567890,1312.19,1384.36,5.5,0.94
13129261586038,59147.31,70976.77,20.0,0.9
90123456789012,37476.88,44972.26,20.0,0.97
89012345678901,1811.75,2174.1,20.0,0.95
93812614886134,56043.12,59125.49,5.5,0.9
56789012345678,15192.84,18231.41,20.0,0.97
32345678901234,78734.03,94480.84,20.0,0.94
99123853538861,25892.23,31070.68,20.0,0.92
53046153607418,27270.83,32725.0,20.0,0.9
78243749819736,10930.47,13116.56,20.0,0.95
49140613640875,19120.57,19120.57,0.0,0.82
38741656035938,7621.1,8040.26,5.5,0.87
44306184100047,1500.04,1800.05,20.0,0.93
93761741691294,32278.14,38733.77,20.0,0.93
90123456789012,12503.38,15004.06,20.0,0.97
30917302136567,3368.57,3553.84,5.5,0.96
48837887085793,12680.99,15217.19,20.0,0.92
90123456789012,52213.59,62656.31,20.0,0.93
67890123456789,1026.36,1231.63,20.0,0.91
85083799217647,4804.88,5765.86,20.0,0.91
81532042523576,58106.22,69727.46,20.0,0.85
46951318161063,5196.23,6235.48,20.0,0.87
11223344556677,46490.59,46490.59,0.0,0.87
67890123456789,32109.74,38531.69,20.0,0.92
83272307477429,6648.05,7977.66,20.0,0.91
56789012345678,9785.29,11742.35,20.0,0.92
46612879898253,9040.15,9944.17,10.0,0.95
44306184100047,7488.17,8985.8,20.0,0.91
50979098372154,26429.28,29072.21,10.0,0.93
89012345678901,1068.12,1281.74,20.0,0.94
78901234567890,770.33,812.7,5.5,0.99
78901234567890,1012.05,1214.46,20.0,0.98
10000000410009,32211.13,38653.36,20.0,0.95
32345678901234,73060.48,87672.58,20.0,0.93
90123456789012,77185.64,92622.77,20.0,0.94
20912014100051,32365.09,38838.11,20.0,0.91
89012345678901,2467.16,2960.59,20.0,0.95
10000000410009,30528.75,36634.5,20.0,0.93
26686370608885,4373.79,4373.79,0.0,0.9
79860059565513,31230.38,37476.46,20.0,0.95
89012345678901,2535.05,3042.06,20.0,0.94
10000000410009,41312.19,49574.63,20.0,0.92
11223344556677,52568.83,52568.83,0.0,0.94
44306184100047,4623.53,5548.24,20.0,0.96
17889611836919,54515.97,59967.57,10.0,0.88
56789012345678,22353.71,26824.45,20.0,0.99
71344547541927,8781.98,10538.38,20.0,0.94
44306184100047,5087.58,6105.1,20.0,0.92
90123456789012,69428.99,83314.79,20.0,0.94
45678901234567,550.48,605.53,10.0,0.94
78901234567890,1292.57,1363.66,5.5,0.99
29391000642914,7466.71,7877.38,5.5,0.96
32345678901234,113905.31,136686.37,20.0,0.94
29737254733890,28300.19,31130.21,10.0,0.96
49040118474729,38790.4,40923.87,5.5,0.91
32345678901234,77410.0,92892.0,20.0,0.96
89012345678901,3254.85,3905.82,20.0,0.89
44306184100047,1202.71,1443.25,20.0,0.94
44306184100047,7395.4,8874.48,20.0,0.95
45678901234567,2270.09,2497.1,10.0,0.99
77838121781257,1286.68,1544.02,20.0,0.86
29619582754367,40712.7,40712.7,0.0,0.92
40736638190195,36876.58,36876.58,0.0,0.96
58223658330652,38146.68,45776.02,20.0,0.9
78901234567890,1946.49,2335.79,20.0,0.99
16400709493836,9768.84,11722.61,20.0,0.9
34333062196042,29347.76,35217.31,20.0,0.91
77762282087541,9407.64,11289.17,20.0,0.99
39727809923006,39783.0,47739.6,20.0,0.96
45678901234567,2292.55,2418.64,5.5,0.96
81591422724583,55953.24,59030.67,5.5,0.88
11223344556677,18599.83,18599.83,0.0,0.95
40579747248835,54533.31,65439.97,20.0,0.98
88705515315252,3226.97,3872.36,20.0,0.94
45678901234567,2211.92,2433.11,10.0,0.91
32345678901234,106424.69,127709.63,20.0,0.92
89012345678901,2361.07,2833.28,20.0,0.92
45678901234567,2787.23,3065.95,10.0,0.95
90123456789012,67606.13,81127.36,20.0,0.96
90532953472658,28242.12,33890.54,20.0,0.96
11223344556677,20464.15,20464.15,0.0,0.88
11223344556677,32798.15,32798.15,0.0,0.94
32345678901234,29013.34,34816.01,20.0,0.89
56789012345678,23288.97,27946.76,20.0,0.99
85944636647545,6902.1,8282.52,20.0,0.92
11223344556677,32265.69,32265.69,0.0,0.91
65634806732558,39169.68,41324.01,5.5,0.8
45678901234567,2102.35,2217.98,5.5,0.99
45678901234567,2379.84,2617.82,10.0,0.95
82541912918764,39040.86,46849.03,20.0,0.94
28172482271030,32233.54,38680.25,20.0,0.9
21628563520507,45677.9,48190.18,5.5,0.88
55694143534346,50706.76,60848.11,20.0,0.9
90123456789012,73323.99,87988.79,20.0,0.91
73323581589143,37466.24,41212.86,10.0,0.88
90123456789012,35409.22,42491.06,20.0,0.92
67890123456789,22965.59,27558.71,20.0,0.93
10000000410009,34317.11,41180.53,20.0,0.91
36814353331645,56768.53,62445.38,10.0,0.92
44306184100047,7424.49,8909.39,20.0,0.96
30212485797073,12546.25,15055.5,20.0,0.97
89012345678901,3989.14,4786.97,20.0,0.96
32345678901234,26082.54,31299.05,20.0,0.93
67890123456789,7511.56,9013.87,20.0,0.9
90056606312369,23677.93,26045.72,10.0,0.93
47411814856628,31788.35,38146.02,20.0,0.87
11223344556677,92816.93,92816.93,0.0,0.88
27423747609654,55213.87,58250.63,5.5,0.91
18784471633839,22216.45,26659.74,20.0,0.94
45678901234567,1773.09,1950.4,10.0,0.95
32345678901234,88682.1,106418.52,20.0,0.96
89012345678901,2312.9,2775.48,20.0,0.89
89012345678901,1561.29,1873.55,20.0,0.89
19679753091728,23400.67,24687.71,5.5,0.95
49724886107745,46099.7,55319.64,20.0,0.94
11223344556677,74044.52,74044.52,0.0,0.9
44306184100047,7518.01,9021.61,20.0,0.96
44306184100047,6543.64,7852.37,20.0,0.94
67890123456789,3945.13,4734.16,20.0,0.88
71378994727265,4155.74,4986.89,20.0,0.95
64827858948269,11324.0,11324.0,0.0,0.92
18055687084941,58520.77,64372.85,10.0,0.93
35197611219345,51421.05,61705.26,20.0,0.84
10000000410009,27662.28,33194.74,20.0,0.93
95137038305450,9926.18,10472.12,5.5,0.88
16194060303337,24999.23,24999.23,0.0,0.94
18893455418776,13312.01,13312.01,0.0,0.93
67890123456789,20089.88,24107.86,20.0,0.93
78901234567890,137.0,144.53,5.5,0.95
44306184100047,5189.75,6227.7,20.0,0.94
47631367095319,3266.59,3919.91,20.0,0.91
10000000410009,44985.62,53982.74,20.0,0.85
39998731311328,14417.24,17300.69,20.0,0.94
45678901234567,771.26,813.68,5.5,0.93
56789012345678,5915.15,7098.18,20.0,0.98
44306184100047,2779.06,3334.87,20.0,0.97
67890123456789,15973.82,19168.58,20.0,0.9
63731160461155,39021.16,41167.32,5.5,0.95
32345678901234,44356.89,53228.27,20.0,0.91
39882825535144,776.71,819.43,5.5,0.95
85089109140020,14369.18,14369.18,0.0,0.87
45678901234567,647.16,711.88,10.0,0.99
78901234567890,1887.45,2264.94,20.0,0.99
12684817950201,17620.49,21144.59,20.0,0.85
56789012345678,7241.85,8690.22,20.0,0.93
22773228235724,1054.22,1265.06,20.0,0.95
74418973873827,7850.17,9420.2,20.0,0.88
32345678901234,44774.37,53729.24,20.0,0.91
75800836654383,26007.09,28607.8,10.0,0.94
45678901234567,873.58,960.94,10.0,0.97
39494764764429,26136.83,28750.51,10.0,0.87
60491713402087,52866.28,58152.91,10.0,0.96
19000494993283,49086.23,49086.23,0.0,0.94
67890123456789,4632.52,5559.02,20.0,0.86
56789012345678,23435.25,28122.3,20.0,0.97
67890123456789,39488.42,47386.1,20.0,0.94
45678901234567,1032.81,1089.61,5.5,0.94
30071531750037,56322.04,67586.45,20.0,0.99
96477160504040,15249.97,18299.96,20.0,0.93
96938298356955,44021.31,52825.57,20.0,0.89
78901234567890,1539.9,1847.88,20.0,0.89
56789012345678,3260.72,3912.86,20.0,0.94
94034757906836,31940.48,33697.21,5.5,0.96
73203309451928,9024.06,10828.87,20.0,0.9
19339433591699,21176.2,25411.44,20.0,0.87
63758766109828,56744.81,62419.29,10.0,0.97
94669541059577,35487.48,35487.48,0.0,0.92
56789012345678,6172.21,7406.65,20.0,0.96
11223344556677,26843.72,26843.72,0.0,0.92
11223344556677,58744.54,58744.54,0.0,0.96
90123456789012,47953.89,57544.67,20.0,0.87
89012345678901,3930.0,4716.0,20.0,0.95
45678901234567,427.42,470.16,10.0,0.92
32075043111383,56649.77,62314.75,10.0,0.95
45678901234567,2812.47,3093.72,10.0,0.99
78901234567890,1955.26,2062.8,5.5,0.99
10000000410009,19236.93,23084.32,20.0,0.89
56789012345678,4804.84,5765.81,20.0,0.91
75301402606617,23984.81,26383.29,10.0,0.91
45678901234567,2854.13,3011.11,5.5,0.99
10000000410009,35716.25,42859.5,20.0,0.95
45678901234567,2716.3,2987.93,10.0,0.92
45678901234567,511.32,562.45,10.0,0.95
48838626202920,55154.81,66185.77,20.0,0.96
96635460290384,34718.09,36627.58,5.5,0.95
44876193815146,19705.03,23646.04,20.0,0.99
44306184100047,5278.35,6334.02,20.0,0.94
72794156768322,38668.37,46402.04,20.0,0.85
96537850800057,3985.9,4783.08,20.0,0.87
66618038362039,15150.76,18180.91,20.0,0.9
72453517182811,30409.08,36490.9,20.0,0.96
19290959567206,39511.91,43463.1,10.0,0.91
67890123456789,7161.36,8593.63,20.0,0.91
45678901234567,317.34,349.07,10.0,0.96
80376925900535,9329.26,10262.19,10.0,0.99
89012345678901,4600.07,5520.08,20.0,0.85
32345678901234,75796.32,90955.58,20.0,0.9
15209390124059,12199.23,13419.15,10.0,0.95
89012345678901,4169.93,5003.92,20.0,0.9
56789012345678,14708.67,17650.4,20.0,0.96
56789012345678,19760.91,23713.09,20.0,0.92
67890123456789,3769.47,4523.36,20.0,0.94
67890123456789,15334.91,18401.89,20.0,0.93
11223344556677,60174.23,60174.23,0.0,0.95
23701121843559,55070.96,66085.15,20.0,0.92
32345678901234,92724.3,111269.16,20.0,0.84
45678901234567,273.6,300.96,10.0,0.87
90123456789012,20277.02,24332.42,20.0,0.94
32345678901234,29030.29,34836.35,20.0,0.95
11223344556677,52554.3,52554.3,0.0,0.94
90123456789012,9714.59,11657.51,20.0,0.94
27929661717837,30526.18,36631.42,20.0,0.96
11223344556677,89463.91,89463.91,0.0,0.92
24469302481053,23498.04,25847.84,10.0,0.88
49985579333571,10921.23,11521.9,5.5,0.93
32345678901234,96240.95,115489.14,20.0,0.91
10000000410009,32088.03,38505.64,20.0,0.91
73165213471236,22982.05,25280.26,10.0,0.99
90123456789012,64811.35,77773.62,20.0,0.96
55877035746434,25202.07,30242.48,20.0,0.91
78901234567890,1315.9,1579.08,20.0,0.96
78901234567890,145.45,153.45,5.5,0.96
32345678901234,110053.1,132063.72,20.0,0.92
78901234567890,931.79,1118.15,20.0,0.98
87976287291138,57812.13,69374.56,20.0,0.98
44306184100047,7348.52,8818.22,20.0,0.95
44306184100047,876.64,1051.97,20.0,0.95
56789012345678,16566.71,19880.05,20.0,0.93
99455440224495,12163.92,14596.7,20.0,0.99
61756816241608,7732.31,8505.54,10.0,0.98
50143063516084,11018.6,11624.62,5.5,0.96
12210398000753,8725.35,10470.42,20.0,0.87
90123456789012,51376.2,61651.44,20.0,0.93
56789012345678,11210.42,13452.5,20.0,0.96
52797021262818,34078.37,37486.21,10.0,0.92
11223344556677,17120.07,17120.07,0.0,0.92
45678901234567,1671.95,1839.15,10.0,0.95
44306184100047,3122.44,3746.93,20.0,0.99
90123456789012,76365.49,91638.59,20.0,0.97
81039354024527,38223.97,45868.76,20.0,0.86
44306184100047,1009.71,1211.65,20.0,0.93
78901234567890,638.44,766.13,20.0,0.99
42496719777938,41273.94,45401.33,10.0,0.92
56789012345678,15741.14,18889.37,20.0,0.99
11223344556677,32406.61,32406.61,0.0,0.96
67890123456789,38167.63,45801.16,20.0,0.88
53677771397992,46554.44,49114.93,5.5,0.9
44306184100047,6914.88,8297.86,20.0,0.92
23334061807881,35552.69,39107.96,10.0,0.99
45678901234567,1770.48,1947.53,10.0,0.92
44306184100047,3157.23,3788.68,20.0,0.89
96843668048530,29447.58,32392.34,10.0,0.99
11223344556677,97808.13,97808.13,0.0,0.97
11223344556677,30366.6,30366.6,0.0,0.97
89012345678901,2717.08,3260.5,20.0,0.91
56789012345678,17817.0,21380.4,20.0,0.91
38020494137664,11949.72,12606.95,5.5,0.94
10221155267435,5902.55,7083.06,20.0,0.93
67890123456789,34625.79,41550.95,20.0,0.81
78901234567890,1017.56,1073.53,5.5,0.96
10000000410009,30321.56,36385.87,20.0,0.96
89012345678901,2110.79,2532.95,20.0,0.99
72467808797504,44288.78,44288.78,0.0,0.91
11223344556677,59463.34,59463.34,0.0,0.89
67890123456789,16956.52,20347.82,20.0,0.85
